application_id,application_name,url,route,screen,interaction,expected,observed,backend_request,response,persisted,screenshot,status,notes
APP-02,Retail AI Platform,http://localhost:8501,/,Platform Home,Direct load in Google Chrome,"Renders 4 tabs, metadata sidebar, and connection status",Streamlit UI rendered with active connection to FastAPI (localhost:8000),GET /,200,PASS,streamlit_ai/01_streamlit_home.png,PASS,
APP-02,Retail AI Platform,http://localhost:8501,/#mcp,FastMCP Chat Tab,Click 'Low Stock Alerts' preset button,Agent analyzes inventory and returns low stock products,FastMCP returned live stock anomaly status from inventory.db,FastMCP Tool Execution,200,PASS,streamlit_ai/02_mcp_low_stock_chat.png,PASS,
APP-04,FastAPI Swagger Docs,http://localhost:8000/docs,/docs,Swagger UI,Render OpenAPI Interactive Docs in Chrome,Displays all REST endpoints with schemas and interactive execution,"Swagger UI loaded with all product, stock, order, and simulation endpoints",GET /openapi.json,200,PASS,fastapi_swagger/01_swagger_docs.png,PASS,
APP-01,STEWARD React SPA,http://localhost:3000/login,/login,Enterprise Sign-In,Navigate in Google Chrome,Renders Enterprise Sign-In with live data and zero visual flaws,Rendered Enterprise Sign-In cleanly (HTTP 200),GET /login,200,PASS,steward_react/01_login.png,PASS,
APP-01,STEWARD React SPA,http://localhost:3000/tower,/tower,Control Tower Screen,Navigate in Google Chrome,Renders Control Tower Screen with live data and zero visual flaws,Rendered Control Tower Screen cleanly (HTTP 200),GET /tower,200,PASS,steward_react/02_tower.png,PASS,
APP-01,STEWARD React SPA,http://localhost:3000/signals,/signals,Signals Inbox Screen,Navigate in Google Chrome,Renders Signals Inbox Screen with live data and zero visual flaws,Rendered Signals Inbox Screen cleanly (HTTP 200),GET /signals,200,PASS,steward_react/03_signals.png,PASS,
APP-01,STEWARD React SPA,http://localhost:3000/signals/SIG-000045,/signals/SIG-000045,Signal Detail Screen (SIG-000045),Navigate in Google Chrome,Renders Signal Detail Screen (SIG-000045) with live data and zero visual flaws,Rendered Signal Detail Screen (SIG-000045) cleanly (HTTP 200),GET /signals/SIG-000045,200,PASS,steward_react/04_signal_detail.png,PASS,
APP-01,STEWARD React SPA,http://localhost:3000/approvals,/approvals,Approvals Queue Screen,Navigate in Google Chrome,Renders Approvals Queue Screen with live data and zero visual flaws,Rendered Approvals Queue Screen cleanly (HTTP 200),GET /approvals,200,PASS,steward_react/05_approvals.png,PASS,
APP-01,STEWARD React SPA,http://localhost:3000/approvals/APR-000012,/approvals/APR-000012,Approval Detail Screen (Three Doors),Navigate in Google Chrome,Renders Approval Detail Screen (Three Doors) with live data and zero visual flaws,Rendered Approval Detail Screen (Three Doors) cleanly (HTTP 200),GET /approvals/APR-000012,200,PASS,steward_react/06_approval_detail.png,PASS,
APP-01,STEWARD React SPA,http://localhost:3000/inventory,/inventory,Inventory Catalog Screen,Navigate in Google Chrome,Renders Inventory Catalog Screen with live data and zero visual flaws,Rendered Inventory Catalog Screen cleanly (HTTP 200),GET /inventory,200,PASS,steward_react/07_inventory.png,PASS,
APP-01,STEWARD React SPA,http://localhost:3000/inventory/SKU-ELC-0001,/inventory/SKU-ELC-0001,Product Detail Screen (SKU-ELC-0001),Navigate in Google Chrome,Renders Product Detail Screen (SKU-ELC-0001) with live data and zero visual flaws,Rendered Product Detail Screen (SKU-ELC-0001) cleanly (HTTP 200),GET /inventory/SKU-ELC-0001,200,PASS,steward_react/08_product_detail.png,PASS,
APP-01,STEWARD React SPA,http://localhost:3000/suppliers,/suppliers,Suppliers Directory Screen,Navigate in Google Chrome,Renders Suppliers Directory Screen with live data and zero visual flaws,Rendered Suppliers Directory Screen cleanly (HTTP 200),GET /suppliers,200,PASS,steward_react/09_suppliers.png,PASS,
APP-01,STEWARD React SPA,http://localhost:3000/suppliers/SUP-0001,/suppliers/SUP-0001,Supplier Scorecard (SUP-0001),Navigate in Google Chrome,Renders Supplier Scorecard (SUP-0001) with live data and zero visual flaws,Rendered Supplier Scorecard (SUP-0001) cleanly (HTTP 200),GET /suppliers/SUP-0001,200,PASS,steward_react/10_supplier_scorecard.png,PASS,
APP-01,STEWARD React SPA,http://localhost:3000/receiving,/receiving,Receiving Dock Screen,Navigate in Google Chrome,Renders Receiving Dock Screen with live data and zero visual flaws,Rendered Receiving Dock Screen cleanly (HTTP 200),GET /receiving,200,PASS,steward_react/11_receiving.png,PASS,
APP-01,STEWARD React SPA,http://localhost:3000/receiving/PO-2026-0001,/receiving/PO-2026-0001,Receipt Entry Screen (PO-2026-0001),Navigate in Google Chrome,Renders Receipt Entry Screen (PO-2026-0001) with live data and zero visual flaws,Rendered Receipt Entry Screen (PO-2026-0001) cleanly (HTTP 200),GET /receiving/PO-2026-0001,200,PASS,steward_react/12_receipt_entry.png,PASS,
APP-01,STEWARD React SPA,http://localhost:3000/decisions,/decisions,Decisions Governance Ledger,Navigate in Google Chrome,Renders Decisions Governance Ledger with live data and zero visual flaws,Rendered Decisions Governance Ledger cleanly (HTTP 200),GET /decisions,200,PASS,steward_react/13_decisions.png,PASS,
APP-01,STEWARD React SPA,http://localhost:3000/decisions/DEC-000123,/decisions/DEC-000123,Decision Detail & Run Telemetry,Navigate in Google Chrome,Renders Decision Detail & Run Telemetry with live data and zero visual flaws,Rendered Decision Detail & Run Telemetry cleanly (HTTP 200),GET /decisions/DEC-000123,200,PASS,steward_react/14_decision_detail.png,PASS,
APP-01,STEWARD React SPA,http://localhost:3000/impact,/impact,Impact & Value Proof Screen,Navigate in Google Chrome,Renders Impact & Value Proof Screen with live data and zero visual flaws,Rendered Impact & Value Proof Screen cleanly (HTTP 200),GET /impact,200,PASS,steward_react/15_impact.png,PASS,
APP-01,STEWARD React SPA,http://localhost:3000/settings/autonomy,/settings/autonomy,Autonomy Policies & Guardrails,Navigate in Google Chrome,Renders Autonomy Policies & Guardrails with live data and zero visual flaws,Rendered Autonomy Policies & Guardrails cleanly (HTTP 200),GET /settings/autonomy,200,PASS,steward_react/16_autonomy.png,PASS,
APP-01,STEWARD React SPA,http://localhost:3000/settings/scenarios,/settings/scenarios,Operational Scenarios Simulation,Navigate in Google Chrome,Renders Operational Scenarios Simulation with live data and zero visual flaws,Rendered Operational Scenarios Simulation cleanly (HTTP 200),GET /settings/scenarios,200,PASS,steward_react/17_scenarios.png,PASS,
CROSS-APP,Streamlit -> React Integration,http://localhost:3000/receiving,/receiving,Receiving Dock,Inspect PO queue for Streamlit-generated PO,PO generated in Streamlit Tab 4 appears in React receiving queue,Cross-application sync confirmed: draft purchase order visible in React UI,GET /api/v1/orders,200,PASS,cross_app/02_react_receiving_cross_app.png,PASS,
APP-01,STEWARD React SPA,http://localhost:3000/inventory,/inventory,Inventory List,READ: Fetch and render products catalog,Displays list of 5 SKUs with live quantities and reorder thresholds,5 SKU items rendered with accurate stock status badges,GET /api/v1/products,200,PASS,crud_app/01_crud_inventory_list.png,PASS,
APP-01,STEWARD React SPA,http://localhost:3000/inventory,/inventory,Inventory Filter/Update,UPDATE / Filter: Search and inspect SKU-ELC-0001,Filters catalog in real-time to Headphones item,Filtered to SKU-ELC-0001 with quantity and movement history,GET /api/v1/products,200,PASS,crud_app/02_crud_stock_filter_update.png,PASS,
APP-01,STEWARD React SPA,http://localhost:3000/tower,/tower,Control Tower (laptop_1280x800),Render at 1280x800 in Chrome,Layout renders responsively without clipping at 1280x800,Rendered cleanly at 1280x800,GET /tower,200,PASS,responsive/laptop_1280x800_tower.png,PASS,
APP-01,STEWARD React SPA,http://localhost:3000/tower,/tower,Control Tower (tablet_landscape_1024x768),Render at 1024x768 in Chrome,Layout renders responsively without clipping at 1024x768,Rendered cleanly at 1024x768,GET /tower,200,PASS,responsive/tablet_landscape_1024x768_tower.png,PASS,
APP-01,STEWARD React SPA,http://localhost:3000/tower,/tower,Control Tower (tablet_portrait_768x1024),Render at 768x1024 in Chrome,Layout renders responsively without clipping at 768x1024,Rendered cleanly at 768x1024,GET /tower,200,PASS,responsive/tablet_portrait_768x1024_tower.png,PASS,
